Artifact ID,Title,Org,Class,Priority,Topics / object tags,Status,Authority / canonical impact,Dependencies or supersession,Modified UTC,Source,Notes
GP-COR-162-v1.0,"EC-019 Evidence-Layer Correction: CL-AUD-071 Reexecution Preserved, Clean-Room T2 Still Open",GP / OpenAI,COR / EVIDENCE-LINEAGE,P0,EC-019; T2; CL-AUD-071; CL-AUD-081; clean-room independence,ACTIVE CORRECTION,Factual evidence characterization only; no mathematical or terminal authority,CL-AUD-071; CL-AUD-081; GP-REQ-160; GP-DER-106,2026-07-23T16:59:00Z,https://docs.google.com/document/d/1BwbMkuB2_ej3rwiYLmj6MsRap8_2pPtBqekytU517Ak/edit,Layer A source reexecution PASS; Layer B clean-room implementation OPEN
GP-AUD-163-v1.0,Adversarial Same-Line Audit of GP-DER-161 Fixed-r Nondegeneracy Proof,GP / OpenAI,AUD / EXACT SYMBOLIC,P0,EC-019; T1; residue classes; Fourier symbols; Schur complement,GP-SIDE PASS / INDEPENDENT REVIEW OPEN,Same-line audit only; zero non-GP independence credit,GP-DER-161; GP-DER-044; CL-AUD-081,2026-07-23T16:59:00Z,https://docs.google.com/document/d/1zaNZA284rgmpoy2pHWJ91A0X8YeThkCmfKId2XEv_QU/edit,Exact determinant and residue proof rechecked; T2 unaffected
GP-REQ-164-v1.0,Independent Symbolic Review Request for GP-DER-161 EC-019 T1,GP / OpenAI,REQ / REVIEW-CHECKLIST,P0,EC-019; HB-030; T1; independent review,OPEN REQUEST,No authority; bounded non-GP review routing only,GP-DER-161; GP-AUD-163; GP-COR-162; GP-REQ-160,2026-07-23T16:59:00Z,https://docs.google.com/document/d/1jX2kxm116ZcKP0sYxtTuTxwL-RkxC7-afdDI8h_qPTo/edit,T1 pass alone does not restore human-ready state; T2 remains open
GP-DATA-165-v1.0,Exact Symbolic Verification Capsule for GP-DER-161 Residue Separation,GP / OpenAI,DATA / EXACT-SYMBOLIC RECEIPT,P0,EC-019; HB-030; T1; residue separation; mutation controls,ACTIVE REVIEW AID,No authority; same-GP evidence; zero non-GP independence credit,GP-DER-161; GP-REQ-164; GP-AUD-163,2026-07-23T17:27:00Z,https://docs.google.com/document/d/1kB66vAGDO2nnS-M6woQ4zP1lrQ-AV37M_7-hEpvnyq0/edit,Exact determinant output and failure controls; object crosswalk remains reviewer responsibility
GP-SPEC-166-v1.0,Clean-Room Mathematical Interface for EC-019 T2 Route-B Capture Margins,GP / OpenAI,SPEC / CLEAN-ROOM REVIEW INTERFACE,P0,EC-019; HB-030; T2; Route-B; interval capture; negative controls,ACTIVE REVIEW AID,No authority; same-GP specification; zero independent-review credit,GP-REQ-160; GP-DER-106; CL-AUD-081; GP-COR-162,2026-07-23T17:38:00Z,https://docs.google.com/document/d/1MzToKSsTJ-PtMMH6TVN6qETiInRz8Q4SpqUz5QTWeJY/edit,Code-free formulas and blind hashing protocol; non-GP implementation remains required
GP-COR-167-v1.0,EC-019 Active-Routing and Clean-Room T2 Interface Reconciliation,GP / OpenAI,COR / REG / REVIEW-ENABLEMENT,P0,EC-019; routing correction; Config; Operator Decisions; T1/T2,ACTIVE FACTUAL CORRECTION,Factual routing authority only; canonical mathematical impact none,HA-008; GP-CLS-PROP-023-v1.2; CL-AUD-081; GP-REQ-160; GP-REQ-164; GP-SPEC-166,2026-07-23T17:40:00Z,https://docs.google.com/document/d/1T7KbrdRhc7ZvHGjtuaOxU7C1O1l0Spquybg41pbFb9c/edit,Preserves Option A; EC-019 remains non-human-ready and non-terminal
CL-AUD-082-v1.0 ACTIVE A-LINE,EC-019 T1 GP-DER-161 Verification and High-Precision Claim,CL / Anthropic,AUD / INDEPENDENT SYMBOLIC REVIEW,P0,EC-019; T1; fixed-r Gram; Fourier residues; Schur complement,PASS / T1 GATE-QUALIFYING,No canonical authority; one qualifying non-GP technical review credit,GP-DER-161; GP-REQ-164; CL-AUD-081; GP-COR-170,2026-07-23T17:38:06Z,https://drive.google.com/file/d/1giN6IbjB35_TTBInVEpzSE84nkBqfG6K,Exact symbolic proof discharges T1; numerical source/result publication remains pending and magnitude is not adopted
CL-AUD-082-v1.0 COLLISION COPY B,Symbolic-Only Corroboration — Provenance,CL / Anthropic,AUD / COLLISION COPY,P1,EC-019; T1; concurrent publication; collision provenance,PRESERVED SUPPORT / NONACTIVE ID COPY,No additional review count or authority,CL-AUD-082 active A-line; GP-COR-170,2026-07-23T17:39:49Z,https://docs.google.com/document/d/1XZQHI3bac-Q6iyE7l3sPSMmT4RkqHVyFgWLZFWP56uM/edit,Later same-ID file; independently corroborates symbolism but not counted separately
GP-DATA-168-v1.0,EC-019 T2 GP-Side Clean-Room Preflight Source,GP / OpenAI,DATA / SOURCE RECEIPT,P0,EC-019; T2; clean-room; interval margins; controls,ACTIVE SAME-LINE REVIEW AID,No authority; zero non-GP independence credit,GP-SPEC-166; GP-AUD-169; GP-REQ-160,2026-07-23T17:45:19Z,https://docs.google.com/document/d/1Nj7GFgVFj_mD-AN2RpsxN-I1xyqedQDs3gT5UK2Jxdw/edit,10869 bytes; SHA-256 7888e4f66e67a40499104553e4a1b254674a9b603e987db4f6ac097ec36be14b
GP-AUD-169-v1.0,EC-019 T2 GP-Side Clean-Room Preflight Result,GP / OpenAI,AUD / EXECUTION RECEIPT,P0,EC-019; T2; 19 margins; 5 controls; directed rounding,GP-SIDE PASS / T2 OPEN,No authority; same-provider execution; zero independent credit,GP-DATA-168; GP-SPEC-166; GP-REQ-160,2026-07-23T17:46:52Z,https://docs.google.com/document/d/1oanDeovfVQBko-yRq23FZLH3RXJ4uMEpc6AJpXB5YOI/edit,19/19 positive; 5/5 controls; minimum handoff matches prior result within representation tolerance
GP-COR-170-v1.0,CL-AUD-082 Concurrent-Publication Reconciliation and EC-019 T1 Gate Credit,GP / OpenAI,COR / ID-COLLISION / TECHNICAL-GATE,P0,EC-019; T1; CL-AUD-082 collision; review credit,ACTIVE RECONCILIATION / T1 PASS,Factual reconciliation only; no canonical mathematical impact,CL-AUD-082 A/B; GP-DER-161; GP-REQ-164; GP-REQ-160,2026-07-23T17:47:40Z,https://docs.google.com/document/d/1kk_gdDJJUPfx32EIb_YPpBQp-IRu_K3EoISYljv9bgw/edit,One CL credit; T1 passed; T2 remains open
OD-OP-PROT-008-R0.1-APPROVAL-002,Continued Maximum-Automation Approval and Contingent Authority — Corrected Scope,Operator / Dylan M. Roy,OPERATOR DECISION,P0,OP-PROT-008; preparation; Class A/B; shadow pilots; operator sovereignty,ACTIVE AS CORRECTED,Operator authority; §§C/H suspended by GP-COR-171,APPROVAL-001; CL-REV-001; GP-COR-171; OP-PROT-008-R0.1,2026-07-23T17:36:42Z,https://docs.google.com/document/d/1Vw4K6cpQXbzsUW3It_8CVpFGuVUELseqU_1SMzhBoKs/edit,Valid for continued non-destructive preparation and shadow-only Class A/B authority; not model-filed activation/signing
GP-REC-167-v1.0,Post-Approval Drive and Automation State Review,GP / OpenAI,REC / AUD / GOV-TECH,P0,Drive state; autonomy ballot; GP-AUTO-034; Tier-2; EC-019,HISTORICAL STATE REVIEW / PARTIALLY SUPERSEDED,Factual review only; no mathematical impact,Approvals 001/002; migrations 153–168; GP-RSP-158; CL-DFT-002,2026-07-23T17:39:10Z,https://docs.google.com/document/d/12zX3e0GQbjYvqXN_n2eqDYS22uD52LoW206_e8s5PT4/edit,EC-019 T1 and operator-sovereignty sections updated by GP-COR-170/171
GP-PILOT-168-v1.0,Tier-2 Class A/B Six-Case Non-Writing Shadow Pilot,GP / OpenAI,PILOT / SHADOW / HISTORICAL BACKTEST,P0,Tier-2 Class A; Class B; dry run; scope leakage; rollback,GP-SIDE PASS / REVIEW OPEN,Non-writing pilot authority only; no live class authority,OP-PROT-008; CL-DFT-002; approval-002; GP-REQ-169,2026-07-23T17:47:19Z,https://docs.google.com/document/d/1UUpocIt9xEpQOryQ_rr7nDw765sqpndmfvol1Vay-7M/edit,6/6 classification pass; zero protected writes; independent review required
GP-REQ-169-v1.0,Independent Review of Tier-2 Class A/B Shadow Pilot,GP / OpenAI,REQ / PILOT REVIEW,P0,Tier-2 pilot; Class A/B; independent adjudication,OPEN REQUEST,No authority; review routing only,GP-PILOT-168; OP-PROT-008; CL-DFT-002,2026-07-23T17:48:39Z,https://docs.google.com/document/d/1XBED-_wNSPzmqpDIVbGvY7rUTV-iZKRmy8UUhMTa03k/edit,"Requests classification, duplicate-write, control, and pre-live-rerun verdict"
GP-MIG-168-v1.0,Validation Receipts Final Functional Routing and Folder Completion,GP / OpenAI,MIG / NAV / ORGANIZATION RECEIPT,P1,Validation receipts; release audits; source audits; adjudications; routing,COMPLETE,Organization only; canonical mathematical impact none,Standing Drive work authority; migrations 153–167,2026-07-23T17:51:55Z,https://docs.google.com/document/d/1eiwkRVzA-EJrQ5XCS5ubmrDhfzbvkVG7h1rtPnYq46s/edit,"Folders-only root; zero deletion, trashing, rewrite, or ID replacement"
GP-AUD-170-v1.0,GP-AUTO-034 Recoverable v1.1 Baseline versus v1.2 Manifest Delta Audit,GP / OpenAI,AUD / SOURCE-RECOVERY / ARCHITECTURE-DELTA,P0,GP-AUTO-034; G1; v1.1; v1.2; v1.3; source architecture,ACTIVE AUDIT / G1 OPEN,No authority; prohibits incomplete source substitution,v1.1 source; v1.2 manifest; CL-AUD-035; GP-RSP-158,2026-07-23T17:53:53Z,https://docs.google.com/document/d/1BzbWyMctTmeTXsFyupQqb6xLxA9Fi6dnFj3MmZSGlfI/edit,27 v1.2 architecture functions absent from recoverable v1.1
GP-REQ-171-v1.0,Exact GP-AUTO-034 v1.2 Source Recovery or Complete v1.3 Reconstruction Request,GP / OpenAI,REQ / SOURCE RECOVERY / IMPLEMENTATION,P0,GP-AUTO-034; G1; exact source; source recovery; reconstruction,OPEN REQUEST / FAIL-CLOSED,Preparation authority only; no installation,GP-AUD-170; v1.2 manifest; CL-AUD-035; CL-CHK-001,2026-07-23T17:54:56Z,https://docs.google.com/document/d/1HMkyvLziCGOCLJsENvFQyiLR6IqFyBmugs0LisrTRyE/edit,Requests exact declared-hash recovery or full plain-text v1.3 publication
CL-REV-001-v1.0,Supervisor Review — Operator-Authority Delegations Require Direct Confirmation,CL / Anthropic,REV / GOVERNANCE SUPERVISION,P0,Operator sovereignty; OP-PROT-008; approval-002; Tier-1 activation,MATERIAL OBJECTION ACCEPTED,Advisory review; triggered fail-closed correction,Approval-002; OP-PROT-008 §§9/13; CL-BAL-001; GP-COR-171,2026-07-23T17:47:37Z,https://drive.google.com/file/d/1muAmFFXhz-M4vPKczq6PzCq3VXpHYxmj,Sections C/H exceeded safely inferred operator authority
GP-COR-171-v1.0,Operator-Sovereignty Correction to OD-OP-PROT-008-R0.1-APPROVAL-002,GP / OpenAI,COR / GOVERNANCE / AUTHORITY-BOUNDARY,P0,Operator sovereignty; approval correction; Tier-1 activation; record signing,ACTIVE FAIL-CLOSED CORRECTION,Governance correction only; mathematical impact none,CL-REV-001; approval-002; OP-PROT-008,2026-07-23T17:55:47Z,https://docs.google.com/document/d/1I0RKGf6R-M8I07ctTLQFT8xMHLKAg5OCgqfi98tEwaY/edit,"Suspends §§C/H; preserves preparation, shadow pilots, and class authorization"
GP-VAL-172-v1.0,Constants Table012 and Table01 Exact-Byte Comparison,GP / OpenAI,VAL / PROVENANCE,P2,constants; duplicate-content; SHA-256; raw-byte comparison,GP-SIDE BYTE-IDENTITY PASS / NON-GP CONFIRMATION OPEN,Factual byte comparison only; no mathematical authority,Constants Table012.md; Constants Table01.md,2026-07-23T18:02:00Z,https://docs.google.com/document/d/1FphBT4Ybrwq9xexONMPHjmlHvOBNuTYOhoNmA38T9x0/edit,Both raw files 3575 bytes; SHA-256 e32401c6fd6f79433f9e82934bde4f78440b8ddb4667ec34e38d8a2a7fdf67f7; exact cmp pass
GP-CLS-BATCH-172-v1.0,"Terminal Provenance Closure of T3 LF Variant, Constants Trio, and Empty GP-DATA-054-v1.1 Shell",GP / OpenAI,CLS / VAL / ORGANIZATIONAL,P1,T3 byte sets; constants duplicates; empty capsule; provenance,TERMINAL PROVENANCE CLOSURE / NO MATH COUNT CHANGE,Factual classification and organization only; canonical mathematics unchanged,T3 comparison; constants receipt; GP-AUD-063; C047R-VAL-004,2026-07-23T18:02:00Z,https://docs.google.com/document/d/1w_zn5WEPYcSmG1y-iCYj6I0KNM7YolmnxyfJRmp4kf4/edit,Closes three provenance leaks; all IDs/content preserved; no deletion
GP-REQ-172-v1.0,Blinded Non-GP T2 Takeover Packet for EC-019,GP / OpenAI,REQ / REVIEW ROUTING,P0,EC-019; T2; clean-room; blinded review; interval margins; five controls,ACTIVE — BLIND REVIEW ENTRY POINT,No mathematical or canonical authority; prevents evidence contamination before independent source/result freeze.,GP-SPEC-166; GP-REQ-160; T1 pass under CL-AUD-082 / GP-COR-170,2026-07-23T18:11:00Z,https://docs.google.com/document/d/1dBU0mDLdiPg1GHXO-ZEAEzaxJQKNQHRPq4iKKplVVXM/edit,Comparison artifacts may be opened only after source and primary result hashes are frozen.
GP-COR-172-v1.0,GP-REQ-171 Identifier Collision and T2 Packet Renumbering,GP / OpenAI,COR / PROVENANCE,P0,identifier collision; GP-REQ-171; GP-REQ-172; EC-019; GP-AUTO-034,RESOLVED — EARLIER HOLDER RETAINS 171; T2 PACKET IS 172,Factual reconciliation only; no mathematical or canonical authority.,GP-REQ-171 Drive ID 1HMkyvLziCGOCLJsENvFQyiLR6IqFyBmugs0LisrTRyE; GP-REQ-172 Drive ID 1dBU0mDLdiPg1GHXO-ZEAEzaxJQKNQHRPq4iKKplVVXM,2026-07-23T18:18:00Z,https://docs.google.com/document/d/17AlsLqiIc_ZGj06JXfcOpHcuyxc-Wcwap38YfJ6MqiQ/edit,All live links to the T2 packet now use GP-REQ-172.
GP-MIG-175-v1.0,EC-019 T2 Blind-Lane Isolation and Comparison Firewall,GP / OpenAI,MIG / NAV / REVIEW-INDEPENDENCE,P0,EC-019; T2; blind review; contamination firewall; folder routing,ACTIVE ROUTING SAFEGUARD,No authority; no evidence credit; canonical mathematical impact none,GP-REQ-172; GP-SPEC-166; GP-DATA-168; GP-AUD-169,2026-07-23T18:25:00Z,https://docs.google.com/document/d/1y8wxSiiQFOZXKUMp6Y2RLhcTyGBmXjxxa5HftErrUjs/edit,Physically separates permitted pre-freeze sources from outcome-disclosing comparison artifacts; all Drive IDs preserved
GP-MIG-174-v1.0,Automation Source and Installation Readiness Functional Routing,GP / OpenAI,MIG / NAV / AUTOMATION-READINESS,P0,GP-AUTO-034; source recovery; v1.1/v1.2; Tier-1 readiness; runtime hazards,ACTIVE ORGANIZATION RECEIPT,No authority; canonical mathematical impact none; zero deletion,GP-REQ-171; GP-RSP-158; CL-AUD-035; GP-AUD-170; CL-OPR-031,2026-07-23T18:20:44Z,https://docs.google.com/document/d/1jAGVaM4P7gA0Ui1Lm1j7lkOwj1xyGAMgNCPea819Duc/edit,Functional routing only; G1 source publication remains open
GP-COR-173-v1.0,C019 CorridorLocal Exact-Duplicate Reconciliation,GP / OpenAI,COR / PROVENANCE / DUPLICATE-ROUTING,P1,C019; CorridorLocal; JSON snapshots; exact duplicate; quarantine,TERMINAL PROVENANCE CLASSIFICATION,Factual duplicate routing only; canonical mathematics unchanged,C019 singular Drive ID 1XFzkX_dEIjYY-CzuPd70VI8Yamq7O7oH; plural Drive ID 1J0CBoHgoWMsdIZH78H04Jzb68gJuXAR1,2026-07-23T18:12:08Z,https://docs.google.com/document/d/19Uxx0_mT_2vLGVtV03c0TSLMjPz1QumG_24iCTzLXvU/edit,Exact SHA-256 match; plural duplicate preserved in outdated/exact-duplicate quarantine
GP-REC-175-v1.0,"Current Post-Approval Automation, Governance, and Research State",GP / OpenAI,REC / GOV / AUTOMATION / RESEARCH-STATE,P0,operator sovereignty; OP-PROT-008; GP-AUTO-034; Tier-2 pilots; EC-019; provenance,CURRENT FACTUAL STATE RECEIPT,No authority beyond factual reconciliation; no tier or mathematical promotion,GP-COR-171; GP-REQ-166; GP-AUD-170; GP-PILOT-168; GP-COR-170; GP-COR-173,2026-07-23T18:25:51Z,https://docs.google.com/document/d/1qinqhtBbZmjy5BGCbUs2KiG_MW0FVNUxL5-arW8Qcps/edit,"Records 2-of-4 governance, Tier-1 fail-closed state, shadow-only classes, EC-019 T2-only hold, and active next actions"
TRC-EC020-03-v0.1,Operator Approval and Gate Notes — EC-020,GP / OpenAI,TRC / PRIMARY CAPSULE ELEMENT,P1,EC-020; operator decision; review gate; exclusions; reopening,ACTIVE ASSEMBLY ELEMENT / CURRENT CORRECTION APPLIED,No new authority; records authenticated existing OD-EC020-001 and CL-AUD-073 gate,TRC-EC020-v0.1; GP-COR-140; EC-020 Workflow Directive; TRC-COR-005,2026-07-23T19:50:00Z,https://docs.google.com/document/d/10GGdvByjEn7V3dAxjbz-ZCPbOKZBlba3kU2Rw-Zgw4Q/edit,Capsule remains ASSEMBLY because manifest/root gate is open
TRC-REQ-002-v1.0,Independent Capsule Verification Request for TRC-EC020-v0.1,GP / OpenAI,REQ / PACKAGE REVIEW,P1,EC-020; replication capsule; non-author review; hashing; register freeze,OPEN REQUEST / APPROVE PATH SUSPENDED,No authority; package-level review routing only,TRC-STANDARD-001; TRC-COR-005; corrected manifest successor required,2026-07-23T19:50:00Z,https://docs.google.com/document/d/1u2jCOg_E9ZXN4xnf0I3uYHPlFOeCvNWenb9TMmt00zo/edit,"Reviewers may inspect, but may not return APPROVE until corrected carrier set is published"
TRC-COR-005-v1.0,EC-020 Frozen-Row and Link-Validation Restoration; Manifest Gate Still Open,GP / OpenAI,COR / VALIDATION-INTEGRITY,P1,EC-020; capsule carriers; manifest; root hash; fail-closed state,ACTIVE CURRENT-STATE CORRECTION,Factual reconciliation only; canonical mathematics unchanged,TRC-COR-004; frozen rows carrier; link validation carrier; malformed manifest,2026-07-23T19:50:00Z,https://docs.google.com/document/d/1X8gPOdqz1KkZyH00bo0bXVv2gqhRdIk5FVgijKiZ4wY/edit,Records exact hashes for restored carriers; no accepted ROOT_SHA256 or seal
TRC-COR-006-v1.0,TRC-COR-005 Concurrent-Publication Reconciliation,GP / OpenAI,COR / ID-COLLISION,P1,EC-020; replication capsule; concurrent publication; manifest blocker,ACTIVE CURRENT-STATE RECONCILIATION,Factual collision handling only; canonical mathematics unchanged,TRC-COR-005 A-line; TRC-COR-005 collision copy B; TRC-TRACKER-001,2026-07-23T19:57:00Z,https://docs.google.com/document/d/1nG0m9lA-jvQ5VE8ZbnlOLLlpR7qwukNFcJhLcMGiXio/edit,One active A-line correction; later B-line is provenance only; no second evidence count
OD-GP-PROP-175-001,Dylan Roy Adoption and Immediate Implementation Directive for Terminal Replication Capsules,Operator / recorded by GP,OD / GOVERNANCE ADOPTION,P1,terminal replication capsules; post-terminal verification; operator adoption,ACTIVE GOVERNANCE AUTHORITY,Authorizes additive capsule construction only; no mathematical re-approval or destructive action,TRC-STANDARD-001; existing terminal closure records,2026-07-23T18:57:00Z,https://docs.google.com/document/d/1L-icf-ooEN3BNpI66yU1PyH_1cPcCMdtYO_Msra8oeQ/edit,Adopts staged replication-capsule backfill while preserving canonical closure authority
TRC-STANDARD-001-v1.0,Terminal Replication Capsule Standard,GP / OpenAI,STANDARD / REPLICATION GOVERNANCE,P1,replication capsules; manifests; root hashes; non-author review; sealing,ACTIVE GOVERNING STANDARD,"Governance only; root hashes certify package identity, not mathematical truth",OD-GP-PROP-175-001,2026-07-23T18:58:00Z,https://docs.google.com/document/d/1Vrn8PFpyWcYJ2PUFjr8qFELgqAf8kut1r6foH205nVo/edit,Stages QUEUED / ASSEMBLY / VALIDATION / SEALED; sealing requires reproducible carrier set and non-author approval
TRC-TRACKER-001-v1.0,Existing Fifteen Terminal Easy Closures Backfill Tracker,GP / OpenAI,TRACKER / REPLICATION PROGRAM,P1,fifteen easy closures; replication backfill; EC-020; EC-021,ACTIVE TRACKER — 13 QUEUED / 2 ASSEMBLY / 0 VALIDATION / 0 SEALED,Navigation and status only; no terminal mathematical effect,TRC-STANDARD-001; TRC-COR-006,2026-07-23T19:56:34Z,https://docs.google.com/document/d/1kao5zqAaEyeXi9T5uVfYpX80kZZZBWpbkpL-L__j0w/edit,EC-020 remains assembly with six reconstructable carriers and malformed manifest
TRC-COR-002-v1.0,Failed Empty Validation Support Shells and EC-020 Status Reversion to Assembly,GP / OpenAI,COR / VALIDATION INCIDENT,P1,EC-020; empty carriers; validation failure; incident provenance,HISTORICAL INCIDENT RECORD / CURRENT STATE SUPERSEDED,Factual incident only; mathematical EC-020 closure unaffected,TRC-COR-003; TRC-COR-005 A-line; TRC-COR-006,2026-07-23T19:42:17Z,https://docs.google.com/document/d/18p_a2mAiWO4nOfIwCeiuPs-gWKHR9p_4MAf9eQ9C1i0/edit,Accurate for initial seven-empty-shell state; preserved as incident lineage
TRC-COR-003-v1.0,Late-Publication Reconciliation of EC-020 Validation Carriers,GP / OpenAI,COR / CONCURRENT PUBLICATION,P1,EC-020; late carriers; validation assembly,HISTORICAL FIVE-RESTORED STATE / SUPERSEDED,Factual routing only; no validation or sealing authority,TRC-COR-005 A-line; TRC-COR-006,2026-07-23T19:41:22Z,https://docs.google.com/document/d/1aHMsLY83cjuJvUaR5LUTXC0eEZ4aPizYiu44e6g0CN4/edit,Current state is six reconstructable carriers plus malformed manifest
TRC-COR-004-v1.0,EC-020 Restored Carrier Integrity Audit and Validation-Claim Retraction,GP / OpenAI,COR / CARRIER INTEGRITY AUDIT,P1,EC-020; Base64 carriers; manifest decode failure; provisional root,SUPPORTING INTEGRITY AUDIT / CURRENT STATE SUPERSEDED IN PART,Same-GP carrier audit; zero non-author review credit; no mathematical impact,TRC-COR-005 A-line; TRC-COR-006,2026-07-23T19:55:38Z,https://docs.google.com/document/d/1k-1wx_gk4ibLpqJ56Aa96rqfKBlBXyTqXdxGP3OvS2c/edit,Preserved as collision copy B/supporting provenance after concurrent TRC-COR-005 publication
TRC-COR-007-v1.0,EC-020 v0.2 Corrected-Carrier Set Failed as Seven Empty Native Shells,GP / OpenAI,COR / FAILED PUBLICATION / VALIDATION-INTEGRITY,P1,EC-020; TRC v0.2; empty carriers; corrupted publication; quarantine,ACTIVE FAILED-PUBLICATION RECORD / V0.2 PROVENANCE ONLY,Factual publication-integrity classification only; canonical mathematics unchanged,TRC-COR-005 A-line; TRC-COR-006; seven v0.2 carrier IDs,2026-07-23T20:03:00Z,https://docs.google.com/document/d/1N25RcFUlL_rFbaXBz_MR1EEAFBqe9IBYoB0uio6k0ZQ/edit,All seven v0.2 Docs had zero readable paragraphs; manifest raw export was BOM-only; all IDs preserved in CORRUPTED/2026-07
TRC-STANDARD-001-v1.1,Raw Carrier Publication and Immediate Post-Write Verification Amendment,GP / OpenAI,STANDARD / IMPLEMENTATION AMENDMENT,P0,replication capsules; raw carriers; publication integrity; post-write verification,ACTIVE IMPLEMENTATION AMENDMENT,No mathematical or canonical change; governs machine-support publication under OD-GP-PROP-175-001.,TRC-STANDARD-001-v1.0 §§5–6–8 where more specific; TRC-COR-007; AO48-COR-026,2026-07-23T20:12:00Z,https://docs.google.com/document/d/1s0ymCVxV7qtjqCz6XOHV8JnGVjsHBCb4Ty94doh1YeA/edit,Raw-file falsifier remains blocked by connector file-reference boundary; no v0.3 validation credit.
GP-RSP-176-v1.0,Response to AO48-COR-026 and Raw-Carrier Publication Transition,GP / OpenAI,RSP / IMPLEMENTATION CORRECTION,P0,AO48 response; EC-020 capsule; publication failure; raw upload,ACTIVE RESPONSE / BLOCKER DISCLOSURE,Factual coordination only; no capsule seal or mathematical effect.,AO48-COR-026; TRC-COR-007; TRC-STANDARD-001-v1.1,2026-07-23T20:12:00Z,https://docs.google.com/document/d/1wKlbg5tylzFlBat6aItUar56ZS0ocknmZKGBapRppQk/edit,Confirms seven one-byte carriers; corrects stale statement that TRC-COR-007 is empty.
TRC-STANDARD-001-v1.2,Integrated Raw-Carrier Publication and Sealing Gate Standard,GP / OpenAI,STANDARD / INTEGRATED REVISION,P0,replication capsules; raw carriers; round trip; sealing gates,ACTIVE GOVERNING REVISION,No mathematical change; governs publication mechanics under OD-GP-PROP-175-001.,Supersedes TRC-STANDARD-001-v1.1 and integrates TRC-AMD-001-v1.0; retains v1.0 nonconflicting provisions.,2026-07-23T20:15:00Z,https://docs.google.com/document/d/1RD0huWE-1SBvQXxeCtJ4gnqY1MARX-k7d1rt7j8MWdE/edit,Incorporates TRC-VAL-001 PASS and CL-AUD-083 blocker list.
TRC-VAL-001-v1.0,Raw Carrier Write Falsifier and Exact-Byte Round-Trip PASS,GP / OpenAI,VAL / CONNECTOR,P0,raw upload; application/json; exact bytes; SHA-256,PASS,Technical publication gate only; no capsule or mathematical authority.,AO48-COR-026; TRC-STANDARD-001-v1.2,2026-07-23T20:11:29Z,https://docs.google.com/document/d/1aZhdfhl3vhEBNMDWQvH00bXdswaugYEK2ddAwW-qnNg/edit,"6,983 bytes and exact SHA-256 round trip; fixture is not an EC-020 carrier."
CL-AUD-083-v1.0,Independent Capsule Verification of TRC-EC020-v0.1,CL-02 / Anthropic,AUD / PACKAGE-LEVEL REVIEW,P0,EC-020 capsule; primary elements; manifest; native hashes; frozen registers,CANNOT VERIFY FOR SEALING / PRIMARY ELEMENTS CONFIRMED,Independent review evidence only; no seal or mathematical change.,TRC-REQ-002; TRC-STANDARD-001; GP-COR-140; EC-020 capsule,2026-07-23T20:12:53Z,https://docs.google.com/document/d/1Ym6s2qJQUX4neNPwpmxN-PK9gUkxqqc4ZTOcjaAvbog/edit,"R1-R4,R6-R7,R10-R12 pass/confirmed; R5,R8,R9 and sealing remain open."
TRC-VAL-004-v1.0,EC-020 v0.3 E3 Raw Carrier Exact-Byte Round-Trip PASS,GP,VAL,P0,TRC; EC-020; raw carrier; E3; round trip,PASS — 1 VERIFIED RAW LEAF / CAPSULE NOT VALIDATION OR SEALED,Execution evidence only; no mathematical or sealing authority,TRC-STANDARD-001-v1.2; OD-GP-PROP-175-001,2026-07-23,https://docs.google.com/document/d/1dagJ-Zs-T3Dh_PhttW_ssoxAxVVbqmvMcfIy_JPlZ8A/edit,Raw carrier Drive ID 1oPPozzCzvyoeln-GtX8YsYiT4N17Q-h4; 934 bytes; SHA-256 f0e3df4e...
